stack_id,primary_role,stack_name,required_skills,preferred_skills,stack_popularity_score,stack_level,typical_experience_years,industry_sector
662,Engineering Manager,ASP.NET Core Stack,C#|SQL Server|Entity Framework|.NET Core,Azure|xUnit|SignalR,0.63,Intermediate,6,Aerospace
663,Python Developer,Azure Enterprise,Azure DevOps|Azure Functions|Cosmos DB|AKS,Azure AD|Logic Apps,0.3,Intermediate,2,Manufacturing
664,SAP Consultant,WordPress CMS Stack,PHP|MySQL|HTML/CSS|WordPress,JavaScript|ACF,0.55,Intermediate,10,Finance
665,Platform Engineer,Cybersecurity Stack,Python|Wireshark|Metasploit|Nmap,Splunk|Kali Linux,0.19,Intermediate,12,Government
666,Backend Developer,iOS Native,Core Data|Swift|Xcode|UIKit,SwiftUI|ARKit,0.41,Advanced,11,Media
667,SAP Consultant,WordPress CMS Stack,MySQL|HTML/CSS,Elementor,0.68,Intermediate,11,Energy
668,Mobile Developer,Frontend React Modern,Vite|React|TypeScript|Tailwind CSS,React Query,0.28,Intermediate,1,Retail
669,ETL Developer,Go Microservices,Docker|gRPC,Testify|Kubernetes|Redis,0.38,Intermediate,10,Government
670,Computer Vision Engineer,Go Microservices,Go|PostgreSQL|gRPC,Redis|Testify|Kubernetes,1.0,Beginner,9,Energy
671,QA Engineer,LAMP Stack,Linux|PHP,Symfony|Laravel,0.94,Beginner,2,Government
672,Principal Engineer,Embedded Systems,ARM|C|C++|RTOS,MQTT|JTAG|FreeRTOS,0.66,Advanced,5,Media
673,Performance Engineer,DevOps Automation,Terraform|Kubernetes,Prometheus|Ansible|Grafana,0.67,Beginner,1,Telecom
674,Data Engineer,Vue.js Ecosystem,Vite|Pinia|TypeScript,Vitest,0.29,Advanced,12,Media
675,Systems Programmer,Svelte Modern,SvelteKit|Svelte,Playwright|Prisma,0.78,Advanced,7,Consulting
676,AI Engineer,React Native Mobile,Redux|React Native|JavaScript,Firebase,0.35,Intermediate,11,EdTech
677,NLP Engineer,ASP.NET Core Stack,.NET Core|SQL Server|Entity Framework|C#,xUnit|SignalR|Blazor,0.6,Intermediate,3,Consulting
678,Java Developer,Svelte Modern,Svelte|SvelteKit,Playwright|Supabase|Vitest,0.39,Advanced,0,Aerospace
679,Platform Engineer,ETL Data Pipeline,PostgreSQL|Python,Great Expectations|Docker,0.27,Advanced,5,Retail
680,Python Developer,Blockchain Development,Ethereum|Web3.js|Solidity|Hardhat,Ganache,0.24,Advanced,5,Retail
681,ML Engineer,Game Development Unity,Unity|Blender|C#|Visual Studio,Addressables|Plastic SCM,0.84,Beginner,6,EdTech
682,Cloud Architect,ML Engineering Stack,Python|TensorFlow|Pandas|Scikit-learn,MLflow,0.43,Beginner,10,Government
683,Embedded Systems Engineer,MEAN Stack,Angular|MongoDB,Jasmine|TypeScript,0.78,Advanced,8,Retail
684,Shopify Developer,Go Microservices,Docker|Go,Testify,0.63,Intermediate,0,Retail
685,Data Analyst,MEAN Stack,Angular|MongoDB|Node.js|Express.js,TypeScript,0.8,Beginner,10,Biotech
686,Go Developer,GraphQL API,PostgreSQL|Apollo Server|Node.js,Jest,0.78,Intermediate,12,Aerospace
687,NLP Engineer,Vue.js Ecosystem,TypeScript|Pinia,Cypress|Nuxt.js,0.24,Advanced,10,SaaS
688,Data Scientist,AWS Cloud Native,API Gateway|S3|DynamoDB,CloudWatch,0.29,Beginner,7,Healthcare
689,Full Stack Developer,WordPress CMS Stack,HTML/CSS|PHP|WordPress|MySQL,Elementor|WooCommerce|JavaScript,0.96,Advanced,8,SaaS
690,Performance Engineer,ETL Data Pipeline,Apache Kafka|PostgreSQL|Python|Airflow,Great Expectations|Docker,1.0,Intermediate,0,Aerospace
691,Principal Engineer,Data Engineering Pipeline,Airflow|AWS S3|Apache Spark,Kafka,0.48,Beginner,10,IT
692,BI Analyst,Svelte Modern,TypeScript|Tailwind CSS|SvelteKit,Playwright,0.13,Advanced,6,Biotech
693,Performance Engineer,GCP Data Platform,Cloud Functions|BigQuery,Composer|Vertex AI,0.59,Advanced,10,IT
694,Data Engineer,WordPress CMS Stack,HTML/CSS|PHP|MySQL|WordPress,ACF,0.35,Advanced,2,SaaS
695,Build Engineer,Rust Systems,Tokio|PostgreSQL,SQLx|Docker|Serde,0.7,Intermediate,4,Automotive
696,Go Developer,PyTorch Deep Learning,PyTorch|Python|CUDA,TensorBoard,0.74,Intermediate,7,Cybersecurity
697,Blockchain Developer,PyTorch Deep Learning,PyTorch|Python|CUDA|NumPy,Hugging Face|ONNX,0.73,Beginner,12,Energy
698,Build Engineer,Unreal Engine Stack,Visual Studio|Unreal Engine|Blueprints|C++,Perforce,0.21,Beginner,1,Retail
699,NLP Engineer,Unreal Engine Stack,Visual Studio|C++|Blueprints,Houdini|Perforce|Substance Painter,0.97,Intermediate,9,Government
700,Data Engineer,GCP Data Platform,BigQuery|GCS|Pub/Sub,Composer,0.22,Intermediate,8,E-commerce
701,Game Developer,Blockchain Development,Web3.js|Solidity,OpenZeppelin|IPFS|Ganache,0.57,Advanced,1,Healthcare
702,QA Engineer,Business Intelligence,Power BI|SQL|Excel,DAX,0.2,Intermediate,2,Government
703,Staff Engineer,Android Native,Kotlin|Room|Android Studio,Retrofit,0.19,Beginner,0,Healthcare
704,Software Engineer,Game Development Unity,Unity|Blender|C#|Visual Studio,DOTween|Photon,0.59,Beginner,1,SaaS
705,Frontend Developer,Blockchain Development,Ethereum|Solidity,IPFS|Chai|OpenZeppelin,0.17,Intermediate,6,Biotech
706,API Developer,GraphQL API,Node.js|PostgreSQL,Jest,0.23,Intermediate,2,Finance
707,ETL Developer,Azure Enterprise,Azure Functions|Azure DevOps|AKS,Service Bus|Logic Apps,0.9,Intermediate,3,Consulting
708,Game Developer,PyTorch Deep Learning,Python|NumPy|PyTorch,Hugging Face|TensorBoard|Weights & Biases,0.98,Beginner,4,Energy
709,Analytics Engineer,AWS Cloud Native,AWS Lambda|DynamoDB|S3,SNS,0.17,Advanced,5,E-commerce
710,Mobile Developer,PyTorch Deep Learning,PyTorch|Python,TensorBoard|Hugging Face|Weights & Biases,0.88,Advanced,12,EdTech
711,Embedded Systems Engineer,Azure Enterprise,AKS|Cosmos DB,Service Bus,0.61,Advanced,6,Cybersecurity
712,Go Developer,Vue.js Ecosystem,TypeScript|Pinia,Vuetify,0.45,Advanced,8,Media
713,React Developer,Unreal Engine Stack,Unreal Engine|C++|Blueprints,Substance Painter|FMOD|Perforce,0.11,Advanced,4,E-commerce
714,Angular Developer,Rust Systems,PostgreSQL|Tokio,SQLx|Cargo,0.38,Advanced,3,E-commerce
715,Java Developer,AWS Cloud Native,API Gateway|AWS Lambda|S3,SNS,0.67,Intermediate,5,Retail
716,Systems Programmer,Azure Enterprise,Azure DevOps|AKS|Azure Functions,Azure AD,0.19,Advanced,9,IT
717,IoT Developer,Flutter Cross-Platform,Dart|Flutter,Integration Tests,0.19,Advanced,8,Biotech
718,CTO,MERN Stack,MongoDB|React|Node.js,Mongoose|Redux,0.97,Beginner,11,Energy
719,Database Administrator,Android Native,Android Studio|Jetpack Compose|Room,Retrofit,0.18,Intermediate,10,Fintech
720,Frontend Developer,iOS Native,Core Data|Swift|UIKit|Xcode,XCTest|SwiftUI,0.23,Beginner,4,Logistics
721,Security Engineer,Embedded Systems,C|ARM,GPIO|FreeRTOS,0.54,Intermediate,1,Automotive
722,Senior Software Engineer,Azure Enterprise,AKS|Azure Functions,Application Insights|Service Bus|Logic Apps,0.16,Intermediate,5,Energy
723,BI Analyst,Svelte Modern,Svelte|TypeScript|Tailwind CSS,Vitest,0.66,Beginner,6,Energy
724,Rust Developer,Next.js Full Stack,Prisma|Next.js|React,NextAuth|Tailwind CSS,0.5,Beginner,9,Automotive
725,Mobile Developer,PyTorch Deep Learning,Python|NumPy|CUDA,Hugging Face|TensorBoard|ONNX,0.68,Beginner,4,Cybersecurity
726,Security Engineer,GCP Data Platform,BigQuery|GCS|Pub/Sub,Dataflow|Composer,0.2,Beginner,12,Cybersecurity
727,Game Developer,MERN Stack,Express.js|Node.js,Mongoose,0.92,Beginner,10,Healthcare
728,Release Engineer,ML Engineering Stack,Python|TensorFlow|Pandas,Docker,0.13,Advanced,5,Aerospace
729,Principal Engineer,Flask Microservices,SQLAlchemy|Flask|Python,Pytest,0.98,Intermediate,9,Finance
730,Senior Software Engineer,Next.js Full Stack,TypeScript|Prisma|Next.js|React,tRPC|NextAuth,0.29,Advanced,11,Gaming
731,ML Engineer,QA Automation,Selenium|TestNG|Jenkins|Python,Allure|Playwright|Cypress,0.83,Intermediate,4,Gaming
732,NLP Engineer,AWS Cloud Native,S3|DynamoDB|API Gateway|AWS Lambda,SNS|SQS,0.4,Beginner,8,Automotive
733,Shopify Developer,Next.js Full Stack,Next.js|TypeScript,tRPC|NextAuth,0.61,Intermediate,7,IT
734,Performance Engineer,Salesforce Platform,SOQL|Lightning Web Components|Salesforce CLI|Apex,Visualforce,0.41,Intermediate,12,E-commerce
735,Principal Engineer,DevOps Automation,Kubernetes|Jenkins,Grafana|Ansible|ArgoCD,0.27,Advanced,11,Logistics
736,Performance Engineer,Go Microservices,Go|PostgreSQL|Docker,Kubernetes|Prometheus|Testify,0.87,Advanced,12,Finance
737,Vue.js Developer,Vue.js Ecosystem,Vue 3|TypeScript,Vuetify|Nuxt.js,0.7,Beginner,12,Finance
738,Shopify Developer,NLP Pipeline,Hugging Face Transformers|Python|NLTK|spaCy,Pandas|FAISS|FastAPI,0.23,Advanced,1,Energy
739,Full Stack Developer,React Native Mobile,React Native|JavaScript|Expo|Redux,Detox,0.64,Intermediate,4,Aerospace
740,CTO,Next.js Full Stack,TypeScript|Next.js|React|Prisma,tRPC|NextAuth,0.82,Intermediate,3,Logistics
741,Solutions Architect,GCP Data Platform,BigQuery|Pub/Sub,Vertex AI|Cloud Run|Composer,0.55,Advanced,5,Biotech
742,Angular Developer,Game Development Unity,Unity|Visual Studio|Blender|C#,Plastic SCM|Photon|Addressables,0.53,Beginner,4,Consulting
743,Game Developer,Embedded Systems,C++|RTOS,FreeRTOS|GPIO|JTAG,0.47,Intermediate,10,E-commerce
744,Engineering Manager,DevOps Automation,Kubernetes|Jenkins,Ansible,0.46,Advanced,3,EdTech
745,Rust Developer,Shopify E-commerce,Shopify CLI|JavaScript|Liquid|HTML/CSS,Node.js,0.75,Beginner,9,E-commerce
746,Technical Lead,Unreal Engine Stack,Unreal Engine|Blueprints,Houdini|Perforce,0.77,Intermediate,4,SaaS
747,Performance Engineer,Game Development Unity,C#|Blender,Photon,1.0,Beginner,4,Healthcare
748,Data Scientist,ML Engineering Stack,Scikit-learn|Pandas|Python,Docker|NumPy,0.16,Advanced,4,Government
749,CTO,GraphQL API,GraphQL|Node.js,DataLoader,0.58,Beginner,11,Media
750,Engineering Manager,GCP Data Platform,Pub/Sub|Cloud Functions,Cloud Run|Composer,0.91,Beginner,1,E-commerce
751,BI Analyst,Rust Systems,Actix-web|PostgreSQL|Rust|Tokio,Serde|Cargo,0.75,Beginner,8,Retail
752,Blockchain Developer,SAP Enterprise,SAP HANA|Fiori|ABAP,OData,0.59,Intermediate,7,Retail
753,DevOps Engineer,ASP.NET Core Stack,SQL Server|.NET Core|C#,Azure|Blazor|SignalR,0.56,Advanced,0,EdTech
754,CTO,Azure Enterprise,AKS|Azure DevOps|Azure Functions,Service Bus|Application Insights|Azure AD,0.28,Advanced,6,Finance
755,WordPress Developer,Business Intelligence,Power BI|Excel|SQL,Looker,0.28,Beginner,8,Healthcare
756,Frontend Developer,ML Engineering Stack,TensorFlow|Python|Pandas,MLflow|Docker|FastAPI,0.68,Beginner,12,Retail
757,Solutions Architect,NLP Pipeline,Python|Hugging Face Transformers|NLTK,FastAPI|FAISS,0.33,Beginner,11,Manufacturing
758,Data Analyst,ML Engineering Stack,Scikit-learn|Pandas|Python|TensorFlow,NumPy,0.22,Advanced,2,Manufacturing
759,Shopify Developer,WordPress CMS Stack,PHP|WordPress,WooCommerce|Elementor,0.27,Advanced,8,Logistics
760,API Developer,Computer Vision Stack,OpenCV|Python,ONNX,0.16,Beginner,10,Consulting
761,Systems Programmer,Computer Vision Stack,TensorFlow|Python|OpenCV|YOLO,PyTorch|ONNX,0.54,Advanced,0,Manufacturing
762,React Developer,Android Native,Room|Android Studio|Kotlin,Retrofit,0.13,Advanced,1,Cybersecurity
763,BI Analyst,Unreal Engine Stack,C++|Visual Studio|Blueprints|Unreal Engine,Houdini|Substance Painter|FMOD,0.61,Beginner,12,Logistics
764,WordPress Developer,iOS Native,Xcode|Core Data,SwiftUI|Combine|ARKit,0.41,Advanced,5,Consulting
765,Blockchain Developer,Go Microservices,gRPC|Go|PostgreSQL|Docker,Prometheus|Redis,0.83,Intermediate,1,Healthcare
766,DevOps Engineer,Vue.js Ecosystem,TypeScript|Vue 3|Pinia,Cypress|Vuetify|Nuxt.js,0.71,Intermediate,6,Manufacturing
767,Build Engineer,LAMP Stack,MySQL|PHP,Symfony,0.9,Beginner,4,Aerospace
768,Security Engineer,Blockchain Development,Ethereum|Solidity,OpenZeppelin|Ganache|IPFS,0.59,Intermediate,8,Telecom
769,Product Engineer,Rust Systems,Tokio|PostgreSQL,Cargo|Docker|SQLx,0.93,Beginner,12,Government
770,BI Analyst,Game Development Unity,C#|Visual Studio|Unity,Addressables,0.16,Beginner,6,Logistics
771,Solutions Architect,Shopify E-commerce,Liquid|JavaScript|HTML/CSS|Shopify CLI,GraphQL|Node.js,0.63,Intermediate,10,Consulting
772,Java Developer,Go Microservices,gRPC|PostgreSQL|Go,Redis|Prometheus,0.18,Advanced,4,Media
773,WordPress Developer,NLP Pipeline,NLTK|spaCy|Hugging Face Transformers,Pandas|FastAPI|FAISS,0.22,Advanced,4,Telecom
774,Blockchain Developer,IoT Platform,AWS IoT|Python,InfluxDB|Docker|Grafana,0.59,Advanced,2,SaaS
775,Frontend Developer,QA Automation,Selenium|Python|TestNG,Allure|Playwright,0.26,Intermediate,7,Finance
776,Go Developer,iOS Native,Xcode|Core Data,ARKit,0.96,Advanced,8,Healthcare
777,Python Developer,Rust Systems,Rust|PostgreSQL,Cargo|SQLx,0.25,Intermediate,0,Consulting
778,NLP Engineer,IoT Platform,Python|MQTT|AWS IoT|Raspberry Pi,Node-RED|Grafana,0.49,Advanced,0,Retail
779,Frontend Developer,GraphQL API,Apollo Server|GraphQL|PostgreSQL,Jest|Prisma|TypeScript,0.88,Advanced,11,Retail
780,Full Stack Developer,PyTorch Deep Learning,PyTorch|CUDA|Python|NumPy,ONNX,0.25,Intermediate,12,Media
781,SRE Engineer,Salesforce Platform,SOQL|Salesforce CLI|Apex,Heroku,0.5,Intermediate,5,Manufacturing
782,Analytics Engineer,GCP Data Platform,GCS|BigQuery|Pub/Sub|Cloud Functions,Cloud Run,0.77,Beginner,12,Telecom
783,Angular Developer,Rust Systems,Actix-web|Tokio,Serde|Docker,0.66,Intermediate,1,Finance
784,Rust Developer,Shopify E-commerce,Liquid|Shopify CLI|JavaScript,GraphQL|React,0.71,Beginner,10,Telecom
785,NLP Engineer,ML Engineering Stack,Scikit-learn|TensorFlow,MLflow|FastAPI,0.36,Advanced,5,Gaming
786,Python Developer,SAP Enterprise,ABAP|Fiori|SAP S/4HANA,CDS Views|OData,0.72,Intermediate,9,Government
787,Build Engineer,Vue.js Ecosystem,Pinia|TypeScript|Vite,Nuxt.js|Vuetify,0.27,Beginner,6,IT
788,Salesforce Developer,Svelte Modern,SvelteKit|TypeScript,Vitest|Playwright|Supabase,0.73,Intermediate,9,Gaming
789,Data Engineer,GraphQL API,GraphQL|Apollo Server|PostgreSQL|Node.js,Prisma|TypeScript,0.36,Beginner,3,Cybersecurity
790,Rust Developer,NLP Pipeline,NLTK|spaCy|Hugging Face Transformers,FAISS,0.77,Beginner,9,Consulting
791,Security Engineer,Blockchain Development,Solidity|Hardhat|Web3.js|Ethereum,Chai,0.29,Beginner,10,Fintech
792,Salesforce Developer,Spring Boot Enterprise,PostgreSQL|Maven,Docker|Kafka,0.65,Beginner,0,Manufacturing
793,Mobile Developer,Data Engineering Pipeline,AWS S3|Apache Spark|Airflow,Delta Lake,0.44,Beginner,6,Media
794,Security Engineer,Blockchain Development,Ethereum|Hardhat|Solidity|Web3.js,IPFS,0.19,Intermediate,7,Government
795,Vue.js Developer,Unreal Engine Stack,Visual Studio|Blueprints|Unreal Engine,Houdini|Substance Painter|Perforce,0.96,Intermediate,9,Gaming
796,Embedded Systems Engineer,Unreal Engine Stack,Visual Studio|C++,FMOD|Houdini|Substance Painter,0.8,Advanced,1,EdTech
797,Blockchain Developer,MEAN Stack,Angular|Express.js|Node.js|MongoDB,NgRx,0.28,Advanced,8,EdTech
798,Platform Engineer,GraphQL API,PostgreSQL|Node.js|Apollo Server|GraphQL,Jest,0.54,Advanced,8,Cybersecurity
799,Blockchain Developer,IoT Platform,AWS IoT|Raspberry Pi|Python|MQTT,Docker|Node-RED|Grafana,0.21,Advanced,3,Telecom
800,Go Developer,Salesforce Platform,Lightning Web Components|Salesforce CLI,MuleSoft,0.36,Intermediate,4,Fintech
801,Embedded Systems Engineer,Game Development Unity,Blender|C#,Addressables|DOTween,0.75,Intermediate,8,Cybersecurity
802,Product Engineer,Flask Microservices,SQLAlchemy|Flask,Kubernetes|RabbitMQ,0.35,Beginner,7,Telecom
803,Engineering Manager,Spring Boot Enterprise,Spring Boot|PostgreSQL|Java|Maven,Hibernate|JUnit,0.59,Advanced,0,Consulting
804,Product Engineer,Frontend React Modern,React|Tailwind CSS|Vite,Vitest|Storybook|React Query,0.51,Advanced,7,Media
805,Game Developer,MEAN Stack,Express.js|Angular,TypeScript|NgRx|RxJS,0.45,Intermediate,9,Manufacturing
806,Database Administrator,GCP Data Platform,GCS|BigQuery|Pub/Sub|Cloud Functions,Dataflow|Vertex AI,0.26,Intermediate,11,Government
807,Senior Software Engineer,ETL Data Pipeline,Python|Apache Kafka|Airflow,AWS Redshift,0.81,Beginner,3,IT
808,Backend Developer,ML Engineering Stack,Scikit-learn|Python,NumPy|Docker,0.65,Intermediate,6,Media
809,Blockchain Developer,AWS Cloud Native,S3|DynamoDB|AWS Lambda|API Gateway,CloudWatch,0.34,Beginner,4,Energy
810,Mobile Developer,Vue.js Ecosystem,Vue 3|Vite|Pinia,Cypress|Vuetify|Nuxt.js,0.91,Advanced,0,Healthcare
811,Backend Developer,Data Engineering Pipeline,Apache Spark|AWS S3|Python|Airflow,Delta Lake,0.42,Intermediate,5,IT
812,Salesforce Developer,Azure Enterprise,Azure DevOps|Cosmos DB|AKS|Azure Functions,Azure AD|Application Insights|Logic Apps,0.25,Beginner,3,Healthcare
813,BI Analyst,Frontend React Modern,Tailwind CSS|React,Zustand|React Query,0.51,Advanced,11,Automotive
814,Product Engineer,iOS Native,Xcode|Core Data|UIKit,Combine,0.5,Advanced,9,SaaS
815,Backend Developer,Computer Vision Stack,OpenCV|YOLO,Albumentations|PyTorch,0.18,Intermediate,4,Telecom
816,Mobile Developer,Blockchain Development,Hardhat|Solidity|Ethereum,OpenZeppelin|Chai|Ganache,0.76,Intermediate,1,IT
817,BI Analyst,PyTorch Deep Learning,CUDA|Python,TensorBoard|Weights & Biases|ONNX,0.47,Beginner,3,Automotive
818,Staff Engineer,Cybersecurity Stack,Metasploit|Wireshark|Nmap,Burp Suite|Splunk|Kali Linux,0.78,Advanced,4,Cybersecurity
819,Angular Developer,Game Development Unity,Unity|Blender|Visual Studio|C#,Photon|Plastic SCM|Addressables,0.99,Advanced,1,Aerospace
820,BI Analyst,PyTorch Deep Learning,PyTorch|NumPy|CUDA,ONNX,0.74,Intermediate,2,Logistics
821,Go Developer,Cybersecurity Stack,Python|Wireshark|Nmap|Metasploit,Kali Linux|Splunk|OWASP ZAP,0.4,Beginner,3,Automotive
822,React Developer,LAMP Stack,MySQL|PHP|Linux,Composer|Laravel|Symfony,0.89,Beginner,10,Automotive
823,Mobile Developer,Django Full Stack,PostgreSQL|Django|HTML/CSS,Redis|Django REST Framework|Docker,0.46,Beginner,10,Cybersecurity
824,Engineering Manager,ASP.NET Core Stack,SQL Server|Entity Framework,SignalR|Blazor,0.24,Beginner,12,IT
825,Staff Engineer,NLP Pipeline,Hugging Face Transformers|NLTK,Pandas|FAISS,0.97,Advanced,12,Automotive
826,Backend Developer,AWS Cloud Native,AWS Lambda|API Gateway,SNS|CloudWatch,0.16,Beginner,12,SaaS
827,Embedded Systems Engineer,ASP.NET Core Stack,SQL Server|C#|.NET Core|Entity Framework,Azure,0.72,Advanced,0,Finance
828,Embedded Systems Engineer,Computer Vision Stack,OpenCV|Python|TensorFlow,MediaPipe|PyTorch,0.71,Advanced,5,Media
829,Go Developer,GraphQL API,Apollo Server|PostgreSQL,DataLoader|TypeScript,0.41,Intermediate,8,Consulting
830,Shopify Developer,NLP Pipeline,spaCy|Hugging Face Transformers|NLTK|Python,SentenceTransformers,0.71,Beginner,8,Retail
831,ETL Developer,IoT Platform,AWS IoT|Raspberry Pi|MQTT,InfluxDB|Grafana|Node-RED,0.86,Intermediate,7,Fintech
832,ETL Developer,IoT Platform,AWS IoT|Raspberry Pi,Node-RED,0.87,Advanced,9,Logistics
833,Solutions Architect,Cybersecurity Stack,Metasploit|Wireshark|Python,Kali Linux|OWASP ZAP,0.24,Intermediate,10,Gaming
834,Rust Developer,Game Development Unity,Unity|C#,Photon|Addressables,0.67,Intermediate,5,Retail
835,Embedded Systems Engineer,Blockchain Development,Solidity|Web3.js|Hardhat,OpenZeppelin|IPFS|Ganache,0.9,Advanced,2,Finance
836,BI Analyst,DevOps Automation,Docker|Kubernetes|Terraform,Ansible,0.46,Intermediate,8,Automotive
837,Blockchain Developer,Unreal Engine Stack,Unreal Engine|Blueprints|C++,Houdini,0.67,Intermediate,12,Automotive
838,Data Scientist,MERN Stack,Node.js|MongoDB|React|Express.js,Redux,0.16,Beginner,12,SaaS
839,ML Engineer,Rust Systems,Tokio|Actix-web|Rust,Cargo|Docker|Serde,0.9,Beginner,10,Gaming
840,React Developer,Go Microservices,Docker|gRPC|PostgreSQL|Go,Testify,0.62,Intermediate,2,Government
841,Frontend Developer,Vue.js Ecosystem,Pinia|Vue 3|Vite,Vuetify|Nuxt.js|Vitest,0.69,Beginner,11,Gaming
842,Mobile Developer,Spring Boot Enterprise,Spring Boot|Java|PostgreSQL|Maven,Hibernate,0.86,Intermediate,4,Healthcare
843,AI Engineer,GraphQL API,Apollo Server|GraphQL|PostgreSQL,Jest|Prisma|TypeScript,0.6,Advanced,3,E-commerce
844,QA Engineer,Rust Systems,Tokio|Rust|Actix-web,Cargo|Docker,0.99,Intermediate,1,Finance
845,Principal Engineer,GraphQL API,PostgreSQL|GraphQL,Jest|DataLoader,0.54,Intermediate,8,Logistics
846,Full Stack Developer,QA Automation,Selenium|Python,Cypress,0.15,Beginner,12,Biotech
847,Node.js Developer,MEAN Stack,Angular|Express.js|MongoDB|Node.js,RxJS|TypeScript|Jasmine,0.41,Intermediate,4,Government
848,Backend Developer,Cybersecurity Stack,Metasploit|Nmap|Wireshark|Python,Splunk|Kali Linux,0.9,Advanced,3,Gaming
849,Node.js Developer,Game Development Unity,Visual Studio|Blender|Unity|C#,Photon|Plastic SCM|Addressables,0.84,Intermediate,8,Aerospace
850,Security Engineer,Business Intelligence,Excel|Power BI|SQL|Python,DAX,0.38,Beginner,3,Automotive
851,Full Stack Developer,PyTorch Deep Learning,CUDA|NumPy,Hugging Face|Weights & Biases|TensorBoard,0.1,Beginner,6,Government
852,Rust Developer,Next.js Full Stack,TypeScript|React|Prisma,Vercel,0.36,Advanced,1,Cybersecurity
853,Software Engineer,PyTorch Deep Learning,PyTorch|NumPy|Python|CUDA,Hugging Face|ONNX,0.15,Intermediate,8,Fintech
854,Go Developer,Spring Boot Enterprise,Spring Boot|Maven|Java,Kafka|Hibernate|Docker,0.95,Intermediate,8,IT
855,Systems Programmer,Business Intelligence,Excel|Python|SQL|Power BI,Looker,0.12,Intermediate,11,Consulting
856,Data Engineer,Django Full Stack,PostgreSQL|HTML/CSS|Django,Celery|Django REST Framework,0.22,Beginner,11,Gaming
857,Solutions Architect,ETL Data Pipeline,Python|PostgreSQL,dbt|Docker|Great Expectations,0.91,Beginner,5,EdTech
858,Data Scientist,Spring Boot Enterprise,Spring Boot|Maven|PostgreSQL,JUnit,0.17,Intermediate,12,IT
859,Security Engineer,Rust Systems,PostgreSQL|Actix-web|Tokio|Rust,Docker|SQLx,0.53,Beginner,5,Biotech
860,Computer Vision Engineer,GCP Data Platform,Pub/Sub|BigQuery|Cloud Functions,Composer|Cloud Run,0.39,Intermediate,6,Logistics
861,BI Analyst,Salesforce Platform,Salesforce CLI|Lightning Web Components|SOQL|Apex,MuleSoft|Flow Builder|Visualforce,0.91,Beginner,3,Fintech
862,IoT Developer,Computer Vision Stack,YOLO|TensorFlow|Python|OpenCV,PyTorch|Albumentations,0.74,Beginner,10,Government
863,Mobile Developer,Flask Microservices,Python|SQLAlchemy|Flask,Kubernetes|Docker|RabbitMQ,0.69,Intermediate,7,EdTech
864,Staff Engineer,Vue.js Ecosystem,Vite|Vue 3|Pinia|TypeScript,Vitest|Cypress|Nuxt.js,0.82,Advanced,12,Aerospace
865,Node.js Developer,Spring Boot Enterprise,Spring Boot|PostgreSQL|Java,Kafka|Docker,0.79,Beginner,5,Cybersecurity
866,BI Analyst,Rust Systems,Tokio|Rust,SQLx|Serde|Cargo,0.57,Intermediate,3,Automotive
867,Mobile Developer,Shopify E-commerce,Shopify CLI|Liquid,Theme Kit|Node.js,0.72,Advanced,7,Government
868,Angular Developer,QA Automation,Python|TestNG|Jenkins|Selenium,Allure|Cypress,0.48,Intermediate,2,E-commerce
869,Blockchain Developer,Business Intelligence,Python|SQL|Excel,Alteryx|Tableau|Looker,0.22,Advanced,3,EdTech
870,Shopify Developer,Rust Systems,Tokio|Actix-web|PostgreSQL|Rust,Serde,0.86,Beginner,6,Fintech
871,ML Engineer,WordPress CMS Stack,PHP|MySQL|WordPress|HTML/CSS,WooCommerce|ACF,0.49,Beginner,3,E-commerce
872,Automation Engineer,Data Engineering Pipeline,Python|AWS S3|Apache Spark,Snowflake|Kafka,0.11,Beginner,9,Government
873,Database Administrator,DevOps Automation,Jenkins|Kubernetes|Terraform,Prometheus|Ansible|ArgoCD,0.86,Intermediate,8,Telecom
874,Data Engineer,React Native Mobile,JavaScript|React Native|Expo,TypeScript|Firebase,0.32,Advanced,10,EdTech
875,Frontend Developer,WordPress CMS Stack,MySQL|WordPress|HTML/CSS,Elementor,0.66,Intermediate,12,Government
876,Release Engineer,DevOps Automation,Terraform|Jenkins|Docker|Kubernetes,ArgoCD|Prometheus,0.51,Intermediate,1,Consulting
877,Release Engineer,Business Intelligence,Power BI|SQL|Python|Excel,DAX|Tableau,0.8,Beginner,5,Biotech
878,Rust Developer,Azure Enterprise,Cosmos DB|Azure DevOps|Azure Functions|AKS,Service Bus|Application Insights,0.78,Advanced,1,Gaming
879,Technical Lead,MERN Stack,Express.js|Node.js|MongoDB|React,Jest,0.73,Intermediate,4,Cybersecurity
880,Security Engineer,ASP.NET Core Stack,C#|Entity Framework|SQL Server,Azure,0.71,Intermediate,3,Energy
881,ETL Developer,Spring Boot Enterprise,Spring Boot|PostgreSQL|Java|Maven,Docker|Kafka|Hibernate,0.19,Intermediate,7,Healthcare
882,Systems Programmer,Flutter Cross-Platform,REST APIs|Firebase|Flutter,Integration Tests|Hive,1.0,Beginner,9,IT
883,QA Engineer,Salesforce Platform,Salesforce CLI|SOQL,Heroku|MuleSoft,0.11,Advanced,0,SaaS
884,SAP Consultant,MEAN Stack,Express.js|MongoDB|Angular|Node.js,RxJS|NgRx,0.79,Intermediate,8,Aerospace
