phrase_id,weak_phrase,recommended_replacement,severity_score,category
829,Good at,Proficient in,0.5,vague
830,Dealt with,Addressed,0.84,action_verb
831,Very experienced,Expert-level command of,0.56,quantify
832,Basic understanding of,Practical awareness of,0.61,vague
833,Assisted the team,Contributed to the QA team's testing of,0.56,action_verb
834,Job description,Career highlight,0.39,format
835,Problem-solving skills,Identified root cause of $100K billing discrepancy,0.38,specificity
836,Was responsible for managing,Supervised,0.67,passive
837,Very experienced,Advanced proficiency in,0.88,quantify
838,Increased sales,Increased sales by $500K annually,0.98,quantify
839,A lot of experience,Significant professional experience in,0.6,vague
840,Objective: To obtain a position,[Use a career highlights section],0.47,filler
841,Passionate about,Specialized in,0.49,buzzword
842,Communicated with stakeholders,Briefed C-suite executives on project status,0.32,specificity
843,Responsibilities included,Key contributions included,0.73,format
844,Communicated with stakeholders,Briefed C-suite executives on project status,0.47,specificity
845,Was in charge of,Managed,0.72,action_verb
846,Different things,A range of initiatives including,0.77,vague
847,Problem-solving skills,Debugged production outage reducing MTTR by 60%,0.47,specificity
848,Worked on,Designed,0.61,action_verb
849,Was responsible for managing,Directed,0.83,passive
850,Managed a team,Managed a team of 12 engineers,0.4,quantify
851,Think outside the box,Creative strategist,0.87,buzzword
852,Very experienced,Seasoned professional in,0.52,quantify
853,Successfully managed,Oversaw [add team size],0.47,redundant
854,Networking,Expanded professional network by 500+ industry contacts,0.99,specificity
855,Utilized,Leveraged,0.59,passive
856,Go-getter,Ambitious achiever,0.69,buzzword
857,Was given the opportunity to,Selected to,0.74,passive
858,Etc.,[Provide concrete instances],0.65,vague
859,Passionate about,Proven track record in,0.85,buzzword
860,Leverage,Harnessed,0.59,buzzword
861,Synergy,Integrated teamwork,0.43,buzzword
862,Was responsible for managing,Supervised,0.47,passive
863,Hard worker,Dedicated achiever,0.9,buzzword
864,Involved in,Engaged in,0.94,action_verb
865,Was tasked with developing,Built,0.98,passive
866,Was tasked with developing,Designed,0.39,passive
867,Detail-oriented,Meticulous in execution,0.44,buzzword
868,Duties included,Key achievements included,0.95,format
869,Good communication skills,Authored technical documentation for 20+ APIs,0.36,specificity
870,Very experienced,Advanced proficiency in,0.34,quantify
871,Objective: To obtain a position,[Summarize top achievements],0.72,filler
872,Problem-solving skills,Debugged production outage reducing MTTR by 60%,0.43,specificity
873,Increased sales,Generated $1.2M in new business,0.81,quantify
874,Was tasked with developing,Engineered,0.64,passive
875,Problem-solving skills,Identified root cause of $100K billing discrepancy,0.51,specificity
876,Assisted the team,Supported the engineering team in delivering,0.45,action_verb
877,Took care of,Maintained,0.82,action_verb
878,Increased sales,Boosted conversion rate by 18%,0.94,quantify
879,I am,[Omit pronoun],0.79,format
880,Various tasks,Key responsibilities such as,0.69,vague
881,Managed a team,Supervised 15 direct reports,0.57,quantify
882,Was responsible for managing,Oversaw,0.52,passive
883,References available upon request,[Space better used for achievements],0.92,filler
884,A lot of experience,8+ years of proven experience,0.86,vague
885,Very experienced,Expert-level command of,0.83,quantify
886,Leverage,Applied,0.56,buzzword
887,Many projects,12+ cross-functional projects,0.69,vague
888,Hard worker,High-performing contributor,0.31,buzzword
889,Was tasked with developing,Designed,0.71,passive
890,Many projects,Several enterprise-scale programs,0.41,vague
891,Results-oriented,Achieved quantifiable results,0.57,buzzword
892,Knowledge of programming,Full-stack development with React and Node.js,0.65,specificity
893,Duties included,Led initiatives such as,0.48,format
894,Proficient in Microsoft Office,Document automation with Word templates,0.98,specificity
895,Duties included,Drove results including,0.62,format
896,Very experienced,10+ years of deep experience in,0.42,quantify
897,Very experienced,Seasoned professional in,0.64,quantify
898,Assisted the team,Aided the operations team in deploying,0.99,action_verb
899,Participated in,Coordinated,0.32,action_verb
900,Good communication skills,Presented quarterly results to board of directors,0.96,specificity
901,Responsibilities included,Achievements included,0.84,format
902,Many projects,Multiple high-impact initiatives,0.89,vague
903,Hard worker,Results-driven professional,0.8,buzzword
904,Responsible for,Directed,0.65,action_verb
905,References available upon request,[Remove entirely],0.73,filler
906,Responsibilities included,Drove business results including,0.94,format
907,Responsibilities included,Key contributions included,0.31,format
908,Was responsible for managing,Administered,0.59,passive
909,Helped with,Assisted in delivering,0.81,action_verb
910,Was responsible for managing,Oversaw,0.31,passive
911,Proficient in Microsoft Office,Document automation with Word templates,0.86,specificity
912,Assisted the team,Enabled the product team to ship,0.37,action_verb
913,Did,Achieved,0.4,action_verb
914,Took care of,Ensured,0.67,action_verb
915,Proficient in Microsoft Office,Data analysis using Excel and Power BI,0.49,specificity
916,Various tasks,Specific deliverables including,0.56,vague
917,Various tasks,Core functions including,0.7,vague
918,I am,[Rewrite in third person implied],0.51,format
919,Proficient in Microsoft Office,"Advanced Excel modeling (VLOOKUP, pivot tables, macros)",0.76,specificity
920,Good communication skills,Presented quarterly results to board of directors,0.37,specificity
921,Objective: To obtain a position,[Craft a value proposition],0.69,filler
922,Participated in,Led,0.79,action_verb
923,Assisted with,Contributed to,0.89,action_verb
924,Duties included,Led initiatives such as,0.7,format
925,Good communication skills,Presented quarterly results to board of directors,0.93,specificity
926,Assisted the team,Supported the engineering team in delivering,0.46,action_verb
927,Basic understanding of,Beginning competency in,0.63,vague
928,Worked on,Developed,0.78,action_verb
929,Go-getter,Target-focused executor,0.69,buzzword
930,Worked on,Engineered,0.95,action_verb
931,Leverage,Utilized,0.97,buzzword
932,Was given the opportunity to,Selected to,0.83,passive
933,My duties were,Produced,0.95,format
934,Synergy,Cross-functional alignment,0.69,buzzword
935,Was asked to lead,Directed,0.77,passive
936,Was responsible for managing,Oversaw,0.57,passive
937,Improved efficiency,Reduced processing time by 40%,0.85,quantify
938,I am,[Remove first person],0.65,format
939,Passionate about,Demonstrated expertise in,0.37,buzzword
940,Hard worker,Results-driven professional,0.54,buzzword
941,Managed a team,Oversaw a team of 10 specialists,0.97,quantify
942,Various tasks,Targeted projects including,0.32,vague
943,Go-getter,Motivated performer,0.64,buzzword
944,Passionate about,Committed to excellence in,0.96,buzzword
945,Etc.,[Be explicit],0.78,vague
946,Responsibilities included,Key contributions included,0.36,format
947,Effectively communicated,Briefed [stakeholders],0.86,redundant
948,My duties were,Delivered,0.36,format
949,Involved in,Engaged in,0.8,action_verb
950,Actively participated,Drove [specific initiative],0.82,redundant
951,Leverage,Capitalized on,0.37,buzzword
952,Responsible for,Oversaw,0.61,action_verb
953,Increased sales,Expanded pipeline by 200+ leads,0.37,quantify
954,Assisted with,Enabled,0.6,action_verb
955,Was tasked with developing,Designed,0.66,passive
956,Did,Executed,0.36,action_verb
957,Was tasked with developing,Developed,0.72,passive
958,Saved money,Cut expenses by $150K per quarter,0.9,quantify
959,Responsible for,Oversaw,0.59,action_verb
960,Managed a team,Managed a team of 12 engineers,0.81,quantify
961,Was tasked with developing,Engineered,0.7,passive
962,Tasked with,Designated to,0.42,action_verb
963,Go-getter,Driven contributor,0.49,buzzword
964,Involved in,Contributed to,0.42,action_verb
965,Go-getter,Motivated performer,0.51,buzzword
966,Saved money,Saved $200K annually through process optimization,0.55,quantify
967,Managed multiple projects,Led 5 parallel workstreams across 3 departments,0.8,quantify
968,Familiar with,Competent in,0.73,vague
969,A lot of experience,8+ years of proven experience,0.39,vague
970,Responsible for,Spearheaded,0.53,action_verb
971,Effectively communicated,Reported to [leadership],0.86,redundant
972,Results-oriented,Drove outcome-focused initiatives,0.53,buzzword
973,Proficient in Microsoft Office,SharePoint administration and workflow design,0.4,specificity
974,Leverage,Employed strategically,0.96,buzzword
975,Took care of,Administered,0.52,action_verb
976,Various tasks,Targeted projects including,0.5,vague
977,I am,[Start with achievement verb],0.98,format
978,Saved money,Reduced costs by 30% via automation,0.53,quantify
979,Go-getter,Motivated performer,0.56,buzzword
980,Communicated with stakeholders,Aligned 6 department heads on strategic priorities,0.44,specificity
981,Was responsible for managing,Directed,0.78,passive
982,Was tasked with developing,Developed,0.97,passive
983,A lot of experience,Extensive hands-on experience,0.61,vague
984,Think outside the box,Innovative problem-solver,0.87,buzzword
985,Saved money,Delivered $1M in cost savings,0.77,quantify
986,Handled,Oversaw,0.47,action_verb
987,Responsibilities included,Impact areas included,0.8,format
988,Saved money,Delivered $1M in cost savings,0.35,quantify
989,Successfully managed,Supervised [add budget],0.71,redundant
990,Was responsible for managing,Administered,0.95,passive
991,Problem-solving skills,Designed failover system eliminating 99% of downtime,0.68,specificity
992,Saved money,Cut expenses by $150K per quarter,0.79,quantify
993,Large-scale project,Multi-year program with 50+ stakeholders,0.72,quantify
994,Assisted the team,Supported the engineering team in delivering,0.38,action_verb
995,Detail-oriented,Meticulous in execution,0.42,buzzword
996,Effectively communicated,Communicated [add channel/audience],0.69,redundant
997,Duties included,Drove results including,0.98,format
998,Results-oriented,Drove outcome-focused initiatives,0.37,buzzword
999,Did,Accomplished,0.46,action_verb
1000,Improved efficiency,Boosted throughput by 50%,0.69,quantify
1001,I am,[Omit pronoun],0.45,format
1002,References available upon request,[Delete this line],0.62,filler
1003,Job description,Career highlight,0.78,format
1004,Involved in,Actively participated in,1.0,action_verb
1005,Good at,Proficient in,0.51,vague
1006,Assisted the team,Supported the engineering team in delivering,0.38,action_verb
1007,Managed multiple projects,Led 5 parallel workstreams across 3 departments,0.54,quantify
1008,Results-oriented,Drove outcome-focused initiatives,0.85,buzzword
1009,Utilized,Implemented,0.54,passive
1010,Did,Delivered,0.81,action_verb
1011,Different things,Various technical domains including,0.35,vague
1012,Worked on,Developed,0.32,action_verb
1013,Results-oriented,Delivered measurable outcomes,0.77,buzzword
1014,Tasked with,Assigned to lead,0.66,action_verb
1015,Was tasked with developing,Engineered,0.53,passive
1016,Etc.,[Replace with details],0.46,vague
1017,Various tasks,Key responsibilities such as,0.43,vague
1018,Responsibilities included,Key contributions included,0.58,format
1019,Improved efficiency,Boosted throughput by 50%,0.92,quantify
1020,Different things,A range of initiatives including,0.6,vague
1021,Responsible for,Directed,0.44,action_verb
1022,Increased sales,Increased sales by $500K annually,0.7,quantify
1023,Large-scale project,Multi-year program with 50+ stakeholders,0.43,quantify
1024,Leverage,Applied,0.62,buzzword
1025,Self-starter,Independent problem-solver,0.67,buzzword
1026,Actively participated,Led [specific component],0.72,redundant
1027,Effectively communicated,Reported to [leadership],0.71,redundant
1028,Passionate about,Deep experience with,0.89,buzzword
1029,Effectively communicated,Presented to [audience],0.87,redundant
1030,My duties were,Achieved,0.94,format
1031,Was given the opportunity to,Earned the role of,0.77,passive
1032,Leverage,Utilized,0.47,buzzword
1033,Made,Produced,0.56,action_verb
1034,Involved in,Instrumental in,0.57,action_verb
1035,Successfully managed,Directed [add scope],0.7,redundant
1036,Etc.,[Be explicit],0.64,vague
1037,Was responsible for managing,Directed,0.69,passive
1038,Familiar with,Practical proficiency in,0.4,vague
1039,Leverage,Harnessed,0.73,buzzword
1040,Problem-solving skills,Identified root cause of $100K billing discrepancy,0.97,specificity
1041,Familiar with,Hands-on experience with,0.44,vague
1042,Objective: To obtain a position,[Summarize top achievements],0.65,filler
1043,Familiar with,Applied understanding of,0.78,vague
1044,Many projects,Numerous client-facing engagements,0.64,vague
1045,Assisted with,Bolstered,0.32,action_verb
1046,Increased sales,Grew revenue 35% year-over-year,0.5,quantify
1047,Go-getter,Goal-oriented professional,0.68,buzzword
1048,Tasked with,Designated to,0.7,action_verb
1049,Managed a team,Directed a 20-person department,0.68,quantify
1050,Made,Crafted,0.38,action_verb
1051,Managed a team,Oversaw a team of 10 specialists,0.88,quantify
1052,References available upon request,[Space better used for achievements],0.88,filler
1053,Worked on,Designed,0.68,action_verb
1054,Etc.,[List specific items],0.82,vague
1055,Duties included,Core deliverables included,0.51,format
1056,Worked on,Designed,0.48,action_verb
1057,Problem-solving skills,Debugged production outage reducing MTTR by 60%,0.61,specificity
1058,Made,Produced,0.45,action_verb
1059,Improved efficiency,Boosted throughput by 50%,0.78,quantify
1060,Problem-solving skills,Architected caching solution reducing latency by 70%,0.74,specificity
1061,Tasked with,Appointed to,0.4,action_verb
1062,Team player,Cross-functional contributor,0.86,buzzword
1063,Was asked to lead,Headed,0.67,passive
1064,Successfully managed,Coordinated [add outcomes],0.42,redundant
1065,My duties were,Achieved,0.5,format
1066,Go-getter,Target-focused executor,0.99,buzzword
1067,Job description,Achievement summary,0.39,format
1068,Increased sales,Boosted conversion rate by 18%,0.94,quantify
1069,Go-getter,Goal-oriented professional,0.79,buzzword
1070,Handled,Coordinated,0.4,action_verb
1071,Leverage,Applied,0.83,buzzword
1072,Job description,Professional contribution,0.64,format
1073,Was asked to lead,Headed,0.74,passive
1074,Objective: To obtain a position,[Craft a value proposition],0.35,filler
1075,Saved money,Saved $200K annually through process optimization,0.58,quantify
1076,Improved efficiency,Streamlined workflows saving 20 hrs/week,0.79,quantify
1077,Networking,Established vendor relationships saving $200K/year,0.62,specificity
1078,Familiar with,Practical proficiency in,0.71,vague
1079,Problem-solving skills,Debugged production outage reducing MTTR by 60%,0.81,specificity
1080,A lot of experience,Deep domain expertise spanning,0.9,vague
1081,Saved money,Negotiated $500K in vendor savings,0.58,quantify
1082,Etc.,[Be explicit],0.65,vague
1083,Leverage,Capitalized on,0.54,buzzword
1084,Was asked to lead,Spearheaded,0.7,passive
1085,Familiar with,Practical proficiency in,0.93,vague
1086,Increased sales,Increased sales by $500K annually,0.33,quantify
1087,Actively participated,Delivered [specific output],0.31,redundant
1088,Communicated with stakeholders,Presented roadmap updates to 15+ stakeholders,0.61,specificity
1089,Responsible for,Spearheaded,0.44,action_verb
1090,I am,[Rewrite in third person implied],0.92,format
1091,Synergy,Cross-functional alignment,0.91,buzzword
1092,Networking,Established vendor relationships saving $200K/year,0.37,specificity
1093,References available upon request,[Not needed on resume],0.36,filler
1094,Responsibilities included,Impact areas included,0.34,format
1095,Actively participated,Led [specific component],0.81,redundant
1096,Increased sales,Grew revenue 35% year-over-year,0.6,quantify
1097,Assisted with,Supported,0.3,action_verb
1098,Good at,Proficient in,0.39,vague
1099,Hard worker,Diligent executor,0.78,buzzword
1100,Responsible for,Managed,0.79,action_verb
1101,Proficient in Microsoft Office,"Advanced Excel modeling (VLOOKUP, pivot tables, macros)",0.99,specificity
1102,Etc.,[Be explicit],0.63,vague
1103,Hard worker,Committed performer,0.36,buzzword
1104,Large-scale project,Enterprise project impacting 10K+ users,0.37,quantify
1105,References available upon request,[Not needed on resume],0.4,filler
1106,Managed a team,Led a cross-functional team of 8,0.75,quantify
1107,Job description,Impact statement,0.35,format
1108,Was asked to lead,Led,0.73,passive
1109,Tasked with,Designated to,0.55,action_verb
1110,Team player,Cross-functional contributor,0.94,buzzword
1111,Effectively communicated,Reported to [leadership],0.9,redundant
1112,Assisted with,Supported,0.4,action_verb
1113,Made,Crafted,0.81,action_verb
1114,Passionate about,Proven track record in,0.52,buzzword
1115,Handled,Coordinated,0.49,action_verb
1116,Assisted with,Enabled,0.69,action_verb
1117,Successfully managed,Coordinated [add outcomes],0.5,redundant
1118,Managed multiple projects,Managed 8 concurrent projects totaling $2M budget,0.89,quantify
1119,Responsibilities included,Delivered value through,0.44,format
1120,Successfully managed,Coordinated [add outcomes],0.43,redundant
1121,Various tasks,Targeted projects including,0.75,vague
1122,Saved money,Reduced costs by 30% via automation,0.65,quantify
1123,Made,Produced,0.65,action_verb
1124,Successfully managed,Managed [add metrics],0.67,redundant
1125,Responsible for,Oversaw,0.95,action_verb
1126,Handled,Administered,0.9,action_verb
1127,Was asked to lead,Directed,0.56,passive
1128,Job description,Impact statement,0.83,format
1129,Managed a team,Managed a team of 12 engineers,0.31,quantify
1130,Was in charge of,Managed,0.48,action_verb
1131,Worked on,Developed,0.96,action_verb
1132,Various tasks,Strategic initiatives such as,0.5,vague
1133,My duties were,Generated,0.84,format
1134,Etc.,[Replace with details],0.36,vague
1135,Was responsible for managing,Administered,0.73,passive
1136,Go-getter,Ambitious achiever,0.52,buzzword
1137,Some experience with,Emerging skills in,0.98,vague
1138,Involved in,Instrumental in,0.53,action_verb
1139,Was given the opportunity to,Earned the role of,0.52,passive
1140,Etc.,[Be explicit],0.34,vague
1141,Assisted with,Contributed to,0.38,action_verb
1142,Effectively communicated,Articulated [topic] to [audience],0.34,redundant
1143,Responsibilities included,Impact areas included,0.38,format
1144,My duties were,Contributed,0.79,format
1145,Tasked with,Designated to,0.97,action_verb
1146,Utilized,Employed,0.85,passive
1147,Very experienced,10+ years of deep experience in,0.42,quantify
1148,Handled,Oversaw,0.81,action_verb
1149,Made,Created,0.53,action_verb
1150,Etc.,[Name actual examples],0.67,vague
1151,Self-starter,Initiative-driven leader,0.74,buzzword
1152,Familiar with,Applied understanding of,0.66,vague
1153,Participated in,Co-led,0.9,action_verb
1154,Tasked with,Commissioned to,0.41,action_verb
1155,Managed a team,Managed a team of 12 engineers,0.93,quantify
1156,Job description,Achievement summary,0.46,format
1157,Some experience with,Foundational experience in,0.33,vague
1158,Problem-solving skills,Debugged production outage reducing MTTR by 60%,0.47,specificity
1159,Good at,Skilled at,0.57,vague
1160,Involved in,Played a key role in,0.95,action_verb
1161,Good communication skills,Presented quarterly results to board of directors,0.69,specificity
1162,Assisted the team,Contributed to the QA team's testing of,0.46,action_verb
1163,Detail-oriented,Accuracy-focused contributor,0.94,buzzword
1164,Leverage,Capitalized on,0.88,buzzword
1165,Was asked to lead,Headed,0.38,passive
1166,Job description,Achievement summary,0.43,format
1167,Large-scale project,Multi-year program with 50+ stakeholders,0.99,quantify
1168,Various tasks,Specific deliverables including,0.91,vague
1169,Problem-solving skills,Identified root cause of $100K billing discrepancy,0.84,specificity
1170,Synergy,Strategic partnership,0.36,buzzword
1171,A lot of experience,8+ years of proven experience,0.56,vague
1172,Think outside the box,Inventive analyst,0.85,buzzword
1173,Improved efficiency,Boosted throughput by 50%,0.47,quantify
1174,References available upon request,[Space better used for achievements],0.98,filler
1175,Managed a team,Led a cross-functional team of 8,0.81,quantify
1176,Was responsible for managing,Directed,0.41,passive
1177,Communicated with stakeholders,Reported KPIs to senior leadership monthly,0.32,specificity
1178,Was responsible for managing,Oversaw,0.75,passive
1179,I am,[Remove first person],0.97,format
1180,Responsible for,Spearheaded,0.89,action_verb
1181,Very experienced,10+ years of deep experience in,0.37,quantify
1182,Utilized,Leveraged,0.59,passive
1183,Participated in,Drove,0.8,action_verb
1184,Assisted with,Supported,0.94,action_verb
1185,Basic understanding of,Beginning competency in,0.59,vague
1186,Basic understanding of,Entry-level proficiency in,0.62,vague
1187,Improved efficiency,Improved efficiency by 30%,0.71,quantify
1188,Some experience with,Emerging skills in,0.75,vague
1189,Various tasks,Specific deliverables including,0.71,vague
1190,Participated in,Co-led,0.76,action_verb
1191,Handled,Coordinated,0.5,action_verb
1192,Good communication skills,Authored technical documentation for 20+ APIs,0.95,specificity
1193,Various tasks,Targeted projects including,0.52,vague
1194,Go-getter,Goal-oriented professional,0.35,buzzword
1195,Took care of,Managed,0.85,action_verb
1196,Was given the opportunity to,Earned the role of,0.41,passive
1197,Tasked with,Designated to,0.63,action_verb
1198,Many projects,12+ cross-functional projects,0.68,vague
1199,Managed a team,Led a cross-functional team of 8,0.62,quantify
1200,A lot of experience,Deep domain expertise spanning,0.9,vague
1201,Assisted with,Enabled,0.87,action_verb
1202,Synergy,Coordinated effort,0.33,buzzword
1203,Knowledge of programming,Backend engineering with Java and Spring Boot,0.4,specificity
1204,My duties were,Contributed,0.98,format
1205,Various tasks,Strategic initiatives such as,0.33,vague
1206,Synergy,Strategic partnership,0.87,buzzword
1207,Dealt with,Resolved,0.97,action_verb
1208,Good communication skills,Facilitated cross-team standups across 4 time zones,0.69,specificity
1209,Was tasked with developing,Engineered,0.37,passive
1210,Did,Performed,0.39,action_verb
1211,Participated in,Drove,0.39,action_verb
1212,Proficient in Microsoft Office,Document automation with Word templates,0.56,specificity
1213,Actively participated,Contributed [specific deliverable],0.71,redundant
1214,Self-starter,Proactive initiator,0.32,buzzword
1215,Was in charge of,Directed,0.93,action_verb
1216,Different things,Multiple workstreams such as,0.36,vague
1217,Good communication skills,Authored technical documentation for 20+ APIs,0.39,specificity
1218,Managed multiple projects,Oversaw portfolio of 10 initiatives spanning 4 teams,0.34,quantify
1219,Communicated with stakeholders,Aligned 6 department heads on strategic priorities,0.6,specificity
1220,Very experienced,Expert-level command of,0.65,quantify
1221,Objective: To obtain a position,[Craft a value proposition],0.42,filler
1222,Team player,Cross-functional contributor,0.49,buzzword
1223,Different things,Multiple workstreams such as,0.32,vague
1224,Effectively communicated,Articulated [topic] to [audience],0.47,redundant
1225,Think outside the box,Solution architect,0.59,buzzword
1226,Was tasked with developing,Built,0.34,passive
1227,Go-getter,Motivated performer,0.4,buzzword
1228,Took care of,Ensured,0.47,action_verb
1229,Large-scale project,Multi-year program with 50+ stakeholders,0.86,quantify
1230,Objective: To obtain a position,[Write a targeted summary statement],0.64,filler
1231,Saved money,Delivered $1M in cost savings,0.54,quantify
1232,Was asked to lead,Championed,0.53,passive
1233,Go-getter,Goal-oriented professional,0.32,buzzword
1234,Successfully managed,Directed [add scope],0.32,redundant
1235,Large-scale project,Organization-wide migration serving 500+ employees,0.34,quantify
1236,Good at,Proven capability in,0.55,vague
1237,Was given the opportunity to,Selected to,0.98,passive
1238,Did,Performed,0.76,action_verb
1239,Go-getter,Target-focused executor,0.87,buzzword
1240,Assisted the team,Supported the engineering team in delivering,0.83,action_verb
1241,Managed multiple projects,Led 5 parallel workstreams across 3 departments,0.7,quantify
1242,Large-scale project,Platform redesign handling 1M+ transactions,0.55,quantify
1243,Knowledge of programming,Full-stack development with React and Node.js,0.42,specificity
1244,Was given the opportunity to,Chosen to,0.86,passive
1245,I am,[Use action verb instead],0.94,format
1246,Helped with,Supported,0.96,action_verb
1247,Was asked to lead,Spearheaded,0.69,passive
1248,Took care of,Administered,0.68,action_verb
1249,Dealt with,Managed,0.33,action_verb
1250,Participated in,Drove,0.72,action_verb
1251,Helped with,Assisted in delivering,0.63,action_verb
1252,Results-oriented,Generated concrete deliverables,0.44,buzzword
1253,Handled,Oversaw,0.8,action_verb
1254,Assisted the team,Facilitated the design team's workflow for,0.34,action_verb
1255,Involved in,Instrumental in,0.79,action_verb
1256,Involved in,Contributed to,0.89,action_verb
1257,Problem-solving skills,Identified root cause of $100K billing discrepancy,0.97,specificity
1258,References available upon request,[Delete this line],0.71,filler
1259,Results-oriented,Produced tangible impact,0.53,buzzword
1260,Tasked with,Designated to,0.85,action_verb
1261,Familiar with,Practical proficiency in,0.42,vague
1262,Was tasked with developing,Designed,0.85,passive
1263,Hard worker,Diligent executor,0.87,buzzword
1264,Objective: To obtain a position,[Write a targeted summary statement],0.81,filler
1265,Think outside the box,Creative strategist,0.42,buzzword
1266,Responsible for,Led,0.57,action_verb
1267,Managed a team,Oversaw a team of 10 specialists,0.32,quantify
1268,Successfully managed,Oversaw [add team size],0.94,redundant
1269,Effectively communicated,Presented to [audience],0.75,redundant
1270,Did,Delivered,0.4,action_verb
1271,Improved efficiency,Improved efficiency by 30%,0.47,quantify
1272,Leverage,Applied,0.75,buzzword
1273,Assisted with,Facilitated,0.61,action_verb
1274,Self-starter,Autonomous contributor,0.47,buzzword
1275,Was in charge of,Headed,0.48,action_verb
1276,Did,Executed,0.33,action_verb
1277,Different things,Cross-disciplinary tasks including,0.98,vague
1278,Networking,Cultivated C-level relationships across 10 accounts,0.65,specificity
1279,Objective: To obtain a position,[Write a targeted summary statement],0.68,filler
1280,Did,Delivered,0.85,action_verb
1281,Was asked to lead,Spearheaded,0.41,passive
1282,Was in charge of,Managed,0.51,action_verb
1283,Leverage,Capitalized on,0.97,buzzword
1284,Was in charge of,Headed,0.42,action_verb
1285,Objective: To obtain a position,[Use a career highlights section],0.81,filler
1286,Was tasked with developing,Developed,0.54,passive
1287,Effectively communicated,Reported to [leadership],0.79,redundant
1288,Etc.,[Be explicit],0.73,vague
1289,Etc.,[Be explicit],0.34,vague
1290,Results-oriented,Achieved quantifiable results,0.98,buzzword
1291,Many projects,A portfolio of strategic projects,0.81,vague
1292,Very experienced,Seasoned professional in,0.49,quantify
1293,Think outside the box,Unconventional thinker,0.47,buzzword
1294,Participated in,Co-led,0.7,action_verb
1295,Knowledge of programming,"Data engineering with Python, Spark, and Airflow",0.41,specificity
1296,References available upon request,[Remove entirely],0.6,filler
1297,Think outside the box,Inventive analyst,0.64,buzzword
1298,Did,Executed,0.44,action_verb
1299,Actively participated,Led [specific component],0.98,redundant
1300,Good at,Proficient in,0.52,vague
1301,Various tasks,Core functions including,0.64,vague
1302,Responsibilities included,Delivered value through,0.36,format
1303,Was responsible for managing,Supervised,0.43,passive
1304,Networking,Cultivated C-level relationships across 10 accounts,0.56,specificity
1305,Different things,Diverse deliverables including,0.48,vague
1306,A lot of experience,Deep domain expertise spanning,0.46,vague
1307,Go-getter,Target-focused executor,0.34,buzzword
1308,Increased sales,Increased sales by $500K annually,0.36,quantify
1309,Passionate about,Committed to excellence in,0.59,buzzword
1310,Increased sales,Generated $1.2M in new business,0.46,quantify
1311,Participated in,Co-led,0.87,action_verb
1312,Many projects,A portfolio of strategic projects,0.78,vague
1313,Communicated with stakeholders,Reported KPIs to senior leadership monthly,0.7,specificity
1314,Detail-oriented,Accuracy-focused contributor,0.51,buzzword
1315,Various tasks,Specific deliverables including,0.65,vague
1316,Basic understanding of,Beginning competency in,0.86,vague
1317,Job description,Career highlight,0.4,format
1318,Managed multiple projects,Oversaw portfolio of 10 initiatives spanning 4 teams,0.42,quantify
1319,Tasked with,Assigned to lead,0.87,action_verb
1320,Handled,Managed,0.6,action_verb
1321,Job description,Professional contribution,0.44,format
1322,Proficient in Microsoft Office,PowerPoint deck design for C-suite presentations,0.88,specificity
1323,Self-starter,Self-directed professional,0.94,buzzword
1324,Assisted the team,Supported the engineering team in delivering,0.36,action_verb
1325,Was tasked with developing,Built,0.69,passive
1326,Good communication skills,Authored technical documentation for 20+ APIs,0.66,specificity
1327,Assisted the team,Supported the engineering team in delivering,0.85,action_verb
1328,Effectively communicated,Articulated [topic] to [audience],0.67,redundant
1329,Many projects,12+ cross-functional projects,0.59,vague
1330,Involved in,Instrumental in,0.71,action_verb
1331,Increased sales,Increased sales by $500K annually,0.95,quantify
1332,Was asked to lead,Led,0.85,passive
1333,Problem-solving skills,Architected caching solution reducing latency by 70%,0.92,specificity
1334,Networking,Cultivated C-level relationships across 10 accounts,0.48,specificity
1335,Duties included,Drove results including,0.7,format
1336,Good at,Proficient in,0.42,vague
1337,Various tasks,Key responsibilities such as,0.73,vague
1338,Job description,Professional contribution,0.33,format
1339,Networking,Established vendor relationships saving $200K/year,0.78,specificity
1340,Participated in,Co-led,0.94,action_verb
1341,Basic understanding of,Entry-level proficiency in,0.31,vague
1342,Proficient in Microsoft Office,Data analysis using Excel and Power BI,0.52,specificity
1343,Knowledge of programming,"Data engineering with Python, Spark, and Airflow",0.9,specificity
1344,Job description,Achievement summary,0.98,format
1345,Hard worker,High-performing contributor,0.51,buzzword
1346,Improved efficiency,Cut operational costs by 25%,0.84,quantify
1347,Leverage,Capitalized on,0.81,buzzword
1348,Successfully managed,Managed [add metrics],0.43,redundant
1349,Team player,Team-oriented professional,0.82,buzzword
1350,Increased sales,Generated $1.2M in new business,0.91,quantify
1351,Proficient in Microsoft Office,"Advanced Excel modeling (VLOOKUP, pivot tables, macros)",0.66,specificity
1352,Tasked with,Entrusted with,0.52,action_verb
1353,Some experience with,Developing expertise in,0.39,vague
1354,Good communication skills,Delivered training sessions to 100+ new hires,0.92,specificity
1355,Helped with,Collaborated on,0.43,action_verb
1356,Knowledge of programming,Full-stack development with React and Node.js,0.89,specificity
1357,Detail-oriented,Precision-focused analyst,0.62,buzzword
1358,Assisted the team,Facilitated the design team's workflow for,0.79,action_verb
1359,Go-getter,Driven contributor,0.88,buzzword
1360,Some experience with,Developing expertise in,0.74,vague
